#{"t_start": 1702338514.678338, "env_id": "ContactProcess"}
r,l,t
-79575.990894,48,0.974823
-127754.138538,84,1.051838
-55787.869633,34,1.082886
-16398.33143,11,1.095324
-132240.50406,87,1.279053
-50584.329125,31,1.33376
-31190.596885,19,1.360343
-269828.032314,171,1.53358
-122964.840237,76,1.610565
-82468.010159,51,1.660308
-102274.665319,64,1.725295
-40391.121015,26,1.754431
-42292.11543,26,1.783487
-30293.013721,18,1.80561
-51589.623844,34,1.860223
-64479.186917,41,1.906279
-53677.855028,35,1.942353
-74183.587506,47,1.989523
-70874.619205,45,2.032106
-147547.541527,93,2.117705
-65085.549521,42,2.155897
-121867.064987,81,2.228452
-43288.789488,27,2.253724
-73581.788772,48,2.296271
-37987.749702,25,2.321388
-77378.710577,50,2.371809
-136562.837268,85,2.444904
-51185.596569,33,2.475577
-66181.988576,40,2.512083
-117659.0181,73,2.579291
-67084.947019,43,2.617648
-120870.024277,73,2.687958
-85678.656183,52,2.739741
-43492.08591,25,2.763909
-94469.23424,58,2.822725
-32792.198188,21,2.844197
-136760.206089,87,2.92878
-74971.260465,49,2.978704
-32591.186334,20,3.000209
-155545.005215,99,3.088898
-95277.272358,60,3.146075
-45589.930452,30,3.179621
-114763.45715,74,3.251899
-56883.269001,37,3.291139
-11698.26629,7,3.30068
-124563.987761,79,3.375891
-123069.402628,80,3.44931
-33893.584528,21,3.470419
-41197.687984,26,3.495874
-67579.163307,42,3.534896
-54888.924106,35,3.575741
-63182.304626,40,3.618953
-127367.628342,79,3.691932
-120458.585059,75,3.758096
-31296.283152,18,3.774924
-38796.131523,24,3.803118
-61981.637461,37,3.843942
-123961.657605,80,3.916766
-45492.635954,30,3.949403
-52088.547702,34,3.986853
-148162.139194,95,4.079931
-63179.303592,41,4.121941
-52287.293956,33,4.156407
-86579.441019,55,4.205788
-43885.119247,28,4.236499
-43894.79452,28,4.266814
-51388.316819,34,4.300481
-79685.644104,51,4.352599
-17498.40482,12,4.370494
-93569.070158,60,4.421671
-45785.05948,31,4.4525
-40790.696345,26,4.478843
-56889.809273,37,4.519307
-42389.483453,27,4.547486
-180962.956223,116,4.656668
-43984.795339,29,4.68582
-58788.264528,38,4.724979
-45990.260608,28,4.750214
-20396.399566,12,4.764111
-94476.363018,59,4.818073
-37494.736157,25,4.847935
-138868.284324,89,4.929248
-44389.26302,28,4.957441
-47787.662972,29,4.986145
-30395.718201,19,5.005994
-48389.212664,30,5.035118
-76284.94334,47,5.078043
-38090.026769,26,5.110351
-13699.681683,9,5.121123
-106584.863785,67,5.180376
-77183.196601,50,5.226112
-35493.986688,23,5.249279
-41290.673906,26,5.276868
-172152.150896,112,5.376567
-47287.808623,31,5.40534
-86380.507771,56,5.452299
-28897.464364,18,5.472829
-123565.508448,79,5.540471
-102363.018258,65,5.604033
-35492.103975,24,5.631127
-116866.623235,74,5.700119
-104076.892438,68,5.758353
-17395.456832,11,5.772302
-92977.619756,61,5.827084
-128963.906553,85,5.912413
-45990.199978,29,5.94201
-81385.491636,51,5.989907
-94688.456699,59,6.046549
-18497.606818,12,6.066256
-66892.804092,42,6.109643
-32294.416322,21,6.130333
-46282.720456,30,6.161941
-76678.318526,50,6.210562
-41591.029226,26,6.240976
-58279.186284,39,6.282593
-208240.876239,133,6.412783
