#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-35792.629805,22,0.836404
-61286.590354,38,0.873101
-31387.553493,20,0.893552
-110866.005245,73,0.962179
-39295.093347,24,0.984407
-59279.711694,37,1.020285
-325989.176149,207,1.342435
-63982.728659,38,1.379815
-18497.33656,11,1.392709
-322388.592004,204,1.637109
-86370.967195,56,1.692113
-112360.219165,69,1.821986
-130759.159101,81,1.895445
-130056.244553,82,1.967945
-226335.194734,143,2.154765
-27884.745969,17,2.173235
-34891.283556,22,2.197136
-25794.057537,16,2.213354
-34780.265278,22,2.237069
-91870.640482,59,2.293165
-352485.136798,223,2.537354
-241607.575534,153,2.746308
-21694.28683,14,2.761411
-173948.092371,112,2.870898
-315790.494504,198,3.09132
-54787.655906,34,3.126984
-58177.000727,38,3.166062
-30193.661459,18,3.18912
-110460.789896,72,3.316172
-178827.937248,112,3.421659
-258411.628182,166,3.621337
-62578.302654,39,3.656968
-194537.688546,123,3.76306
-268321.666891,165,3.964543
-162636.83082,100,4.050825
-40288.015262,24,4.129292
-44886.801318,29,4.158943
-173636.165051,112,4.269575
-99268.048368,63,4.332262
-59579.489821,41,4.429036
-45883.555411,29,4.461957
-113746.916591,72,4.533936
-43584.338584,29,4.567094
-78880.989008,49,4.615947
-41986.776853,27,4.645426
-56284.495673,35,4.680465
-102662.075255,67,4.802563
-227124.092032,141,4.933423
-185337.419032,121,5.12364
-224726.211033,136,5.253528
-125052.45132,80,5.387122
-117468.722399,75,5.452344
-125045.924765,76,5.52405
-183640.708126,116,5.689918
-246015.939054,156,5.832354
-194341.566943,121,6.004185
-33991.998803,23,6.031312
-57279.479641,35,6.063599
-47378.640918,31,6.097117
-50780.654338,36,6.133847
-114855.653682,72,6.199791
-43286.974363,27,6.288164
-81967.140682,51,6.341532
-149039.248388,94,6.435028
-15496.36453,10,6.44871
-162033.264686,106,6.599842
-56985.629964,37,6.638847
-92977.75683,57,6.692292
-164844.38469,103,6.78698
-188040.584891,119,6.956781
-241137.128726,154,7.099902
-37088.004439,25,7.177129
-35089.73534,22,7.19675
-41989.878462,24,7.220187
-68476.459444,44,7.257928
-132844.087876,86,7.33524
-9699.293349,6,7.343049
-48286.283854,32,7.374723
-174928.802208,107,7.518925
-285106.782294,181,7.724632
-59575.496263,38,7.760822
-47591.943441,29,7.788078
-175748.14778,112,7.891284
-43784.196321,28,7.919773
-72469.58207,44,7.961367
-25692.169424,15,8.028522
-156551.919135,98,8.117587
-43976.745808,28,8.145
-71578.570297,48,8.189909
-107051.037982,71,8.253105
