#{"t_start": 1702284563.918493, "env_id": "ContactProcess"}
r,l,t
-28192.678921,17,0.951284
-74877.139298,47,0.997896
-104751.459795,66,1.064227
-170334.863599,106,1.166103
-89773.956274,56,1.288796
-65479.599339,43,1.332723
-50082.541958,32,1.365299
-204230.246641,130,1.49042
-74280.701193,49,1.539837
-47585.00523,31,1.571852
-16098.953279,10,1.585521
-86685.092534,55,1.639531
-41086.603392,27,1.669891
-75769.884321,50,1.724515
-121551.170436,78,1.807134
-132865.190707,83,1.893415
-55892.75181,36,1.930198
-90273.193004,59,1.984776
-18697.753176,12,1.99979
-52276.881867,34,2.033924
-38794.631929,23,2.062603
-73079.310671,47,2.106199
-67877.311296,45,2.147077
-27592.870575,17,2.161404
-77679.858256,49,2.207385
-71682.891113,44,2.245176
-90265.996468,58,2.302398
-96769.844814,64,2.362753
-213032.013464,137,2.484223
-77878.839311,49,2.530576
-105248.072631,68,2.589047
-47182.599549,32,2.61914
-34987.739843,25,2.644201
-149345.037945,93,2.725402
-180243.777474,116,2.829911
-197844.597509,121,2.936104
-65886.835103,43,2.979753
-138158.786902,86,3.063069
-234722.488561,152,3.194417
-92566.584299,58,3.253639
-23097.301157,15,3.270489
-35192.824801,24,3.295121
-110084.279176,71,3.361719
-48586.327642,33,3.396556
-130365.525326,87,3.485375
-50787.770323,32,3.518176
-59286.061954,39,3.559819
-157651.538899,104,3.651697
-59387.078252,37,3.687475
-21889.14695,15,3.703375
-39493.351691,25,3.734795
-69675.615799,46,3.779949
-48893.738588,32,3.812005
-61480.413787,39,3.848318
-79577.017307,50,3.893678
-158030.588212,102,3.990114
-86271.979635,58,4.04756
-233533.603198,155,4.1809
-50888.017254,33,4.216487
-250900.204569,164,4.358809
-246236.418365,164,4.513641
-124368.818685,82,4.588955
-168522.085457,108,4.687798
-59974.011712,41,4.727718
-82488.508869,55,4.780008
-54983.16492,37,4.817376
-92576.110375,63,4.877728
-45888.437252,32,4.910075
-38887.490405,27,4.943689
-37384.819558,27,4.97266
-116162.25108,78,5.043295
-105061.111996,72,5.114555
-76774.759426,52,5.165612
-30394.529568,20,5.191429
-28390.675523,19,5.211524
-71087.365652,49,5.265271
-62785.771627,41,5.310053
-84987.51724,54,5.359529
-54486.77731,37,5.394385
-67677.157219,45,5.44148
-69379.588621,46,5.487545
-26992.328422,18,5.50958
-26297.790587,16,5.528007
-34494.104794,21,5.550623
-8396.842846,6,5.558643
-168748.673297,111,5.660732
-67379.048109,44,5.709497
-65987.881649,46,5.753562
-73377.755831,50,5.804239
-13693.579546,10,5.815531
-101578.21363,70,5.88168
-105883.226449,71,5.956989
-91282.480678,60,6.021529
-18395.265876,11,6.033112
-106175.640046,70,6.099507
-16498.109692,11,6.114606
-64874.68701,44,6.156725
-70683.100039,48,6.202298
-31994.553368,21,6.23265
-99377.942031,64,6.311682
-42291.860398,29,6.357726
-17596.434718,11,6.376164
-23995.193395,15,6.394721
-28194.411778,20,6.435541
-80089.532829,51,6.504358
-136165.113746,95,6.60193
-49189.923548,32,6.638291
-36891.417903,25,6.665433
-79391.214501,55,6.719805
-61388.124478,41,6.76231
-48388.223838,33,6.798114
-39491.350632,26,6.828532
-81684.592146,53,6.884721
