#{"t_start": 1702320886.668968, "env_id": "ContactProcess"}
r,l,t
-192284.157822,122,1.053949
-117273.285287,73,1.118956
-53620.323625,35,1.155959
-322557.61453,203,1.481586
-30861.164328,20,1.507424
-81474.015099,52,1.555756
-121491.905168,75,1.689284
-483269.287621,306,2.031029
-110339.009269,68,2.097613
-29348.46272,18,2.119378
-154387.872981,98,2.280473
-150252.770411,94,2.370056
-237680.699072,153,2.569532
-150872.366264,94,2.655833
-229200.936297,145,2.849938
-22664.145575,14,2.867987
-44867.584222,26,2.897335
-64056.398634,42,2.943405
-135949.485719,85,3.022823
-192065.245193,117,3.187492
-142068.948805,87,3.263645
-187679.771715,120,3.370962
-409639.682414,262,3.691483
-236884.042452,147,3.826144
-604904.060479,386,4.25724
-123930.493844,79,4.327978
-50414.830531,31,4.359427
-163765.124122,106,4.453947
-113690.457508,72,4.570585
-93252.423534,58,4.623873
-89385.456441,57,4.675703
-69207.271395,42,4.716812
-66058.882238,43,4.810395
-82389.742913,51,4.857159
-78278.889344,50,4.902829
-46513.00333,30,4.932651
-181709.526434,113,5.029474
-86922.206614,54,5.12941
-95411.976626,62,5.187706
-73071.693183,47,5.229048
-25547.829243,15,5.244292
-57782.622419,36,5.277721
-99255.563475,62,5.390128
-262901.857875,162,5.527196
-211370.93105,137,5.702912
-179999.919856,111,5.804946
-98033.74382,60,5.862836
-83508.779832,53,5.981028
-167011.298871,107,6.08318
-46247.79882,29,6.115305
-140555.759518,89,6.19891
-52644.75608,33,6.291272
-42433.800463,28,6.320133
-314508.34709,196,6.502724
-54835.366877,34,6.601464
-23077.800977,14,6.620569
-71259.041054,46,6.667487
-44753.08652,29,6.699646
-132610.02921,84,6.773203
-91403.881642,59,6.890474
-17774.751712,11,6.902878
-200051.937705,125,7.018793
-63507.691931,40,7.056378
-462185.189863,296,7.385988
-58829.354709,38,7.426642
-188549.26065,122,7.604085
-186839.508708,116,7.716989
-96868.839767,60,7.832331
-290761.334057,183,8.013049
-171705.963008,109,8.18033
-200347.463227,129,8.307506
-47908.255141,32,8.34104
-114603.793522,73,8.466845
-543706.042588,349,8.846465
-108516.819922,68,8.910091
-63975.949027,38,8.950512
-46203.51028,31,9.040393
-74369.113173,47,9.08648
-22553.754315,14,9.102495
-39494.840604,24,9.128661
-77665.251422,51,9.181226
-71370.635386,47,9.226265
-162211.08355,103,9.373705
-241513.28837,155,9.507935
-69586.564031,44,9.603099
-245894.564472,158,9.737386
-123845.828617,80,9.808788
-43945.268524,29,9.902098
-231241.113193,150,10.036712
-81774.821826,51,10.085393
-91825.758663,63,10.204861
-128850.253269,80,10.278248
-57200.835163,36,10.313304
-120954.904953,75,10.386553
-55885.816694,36,10.423437
-141364.787264,89,10.562144
-85404.552936,55,10.610754
-255565.384379,163,10.809891
-309568.362288,199,10.981256
-37297.378997,25,11.061502
-115166.386408,76,11.13159
-57996.264658,36,11.167864
-95816.777712,61,11.22299
-54033.818231,34,11.259021
-341425.485515,211,11.515533
-56734.189465,35,11.553553
-296449.124714,187,11.771352
-73703.705197,46,11.814592
-107670.689786,68,11.875827
-188341.134568,117,12.029377
-166543.685162,105,12.122004
-99376.821685,62,12.244201
-32571.455956,20,12.267427
-174300.500394,109,12.367611
-61598.830575,39,12.403311
-102605.144327,66,12.518159
-169449.460834,108,12.616796
-68984.915355,43,12.656989
-137746.515447,88,12.73438
-53233.334526,32,12.819519
-94938.037537,60,12.879214
-171760.958682,111,12.980974
-49938.868858,32,13.01303
-64288.468432,41,13.111568
-63612.313382,40,13.148883
-97578.007112,61,13.205861
-67763.195179,42,13.246906
-23039.294813,14,13.265898
-105521.073547,66,13.332433
-98811.295918,64,13.44529
-231718.13004,147,13.577263
-30252.9701,19,13.595846
-172081.49779,111,13.759999
-67908.489904,43,13.802323
-111853.445427,74,13.874459
-93017.457232,59,13.933977
-131874.785068,83,14.060051
-54621.211072,34,14.094149
-23867.206334,16,14.111386
-52570.012117,33,14.14371
-138688.114255,85,14.21742
-118004.119455,74,14.334857
-131221.213738,81,14.408419
-164374.966817,104,14.501702
-129805.520984,85,14.627978
-104856.968008,67,14.686324
-67325.498277,42,14.726235
-245108.459849,155,14.914221
-232500.94915,149,15.044885
-55634.089171,37,15.080395
-65903.414498,41,15.172758
-48636.448036,29,15.199214
-310716.265232,194,15.419448
-102715.835178,67,15.478607
-171731.546276,109,15.577195
-128405.336509,81,15.69992
-41531.65916,27,15.726562
-105116.835748,65,15.784509
-128450.070437,79,15.856458
-68320.887785,43,15.898248
-206013.707399,131,16.058449
-124592.163067,76,16.133781
-56533.533111,35,16.167517
-65004.616232,40,16.202788
-70909.269116,45,16.297424
-26164.169921,18,16.319262
-15887.736379,10,16.329342
-184269.026102,115,16.428743
-149771.254012,95,16.565474
-548355.935243,352,16.917177
-27038.678064,17,16.934788
-149001.073237,95,17.016845
-46316.14451,29,17.04653
-98450.641599,64,17.154664
-106374.34694,69,17.214927
-275291.952157,176,17.420195
-44934.308516,30,17.448146
-27441.714405,19,17.471886
-105586.258785,66,17.530193
-71804.947415,46,17.571823
-179639.53547,114,17.735342
-117071.772131,74,17.806112
-64695.556169,40,17.843203
-136080.109169,82,17.986686
-110358.154809,70,18.051847
-47319.566463,31,18.081643
-197324.394943,122,18.183547
-257520.521974,160,18.376516
-109811.961513,66,18.433646
-95432.320301,61,18.541583
-19547.799039,13,18.558002
-61675.135339,39,18.597422
-55332.742561,36,18.632738
-49344.888559,31,18.659817
-94138.907179,59,18.712633
-72012.067094,47,18.757189
-92634.198558,60,18.864059
-276850.070864,175,19.010228
-101431.838426,65,19.12319
-96726.596433,64,19.182827
-113346.674063,71,19.24579
-11485.401841,8,19.25672
-31847.604919,21,19.279173
-159117.780797,98,19.419564
-51243.039889,32,19.45068
-79989.904017,49,19.495811
-25258.02211,16,19.515956
-65967.64715,43,19.558862
-40400.376502,25,19.584832
-49179.824056,33,19.621164
-103596.704705,63,19.737394
-83396.768526,53,19.788169
-70287.259723,46,19.834655
-121897.334117,77,19.906817
-167235.20952,106,20.053702
-165980.239708,105,20.144308
-54293.940405,36,20.178894
-141809.737895,88,20.310177
-118736.87367,76,20.382573
-339280.77048,215,20.64409
-211218.637527,134,20.773617
-92746.101321,59,20.889295
-142137.789061,90,20.970599
-254927.60083,163,21.176678
-264661.216269,172,21.331059
-18480.139053,12,21.346733
-151666.085101,96,21.493884
-55900.655093,35,21.528513
-21174.569191,14,21.54734
-41236.894118,25,21.573621
-22319.107315,15,21.590729
-72941.860197,43,21.630548
-40423.140194,25,21.659716
-186856.862633,121,21.860306
